meddra_concept,frequency,pt_code
Low self-esteem,1,10050280
Blood glucose normalised,1,10005558
Increased susceptibility to infection,1,10021866
Severe pain,1,10033371
Ocular discharge,1,10015915
Disease remission,1,10091804
Emotional indifference,1,10002942
Increased body temperature,1,10005911
Fatty acid oxidation,1,10077951
Increased defecation frequency,1,10017367
Delayed onset muscle soreness,1,10028411
Postural dizziness,1,10013578
Gastrointestinal feeling of fullness,1,10000060
Pain radiating,1,10033371
Forearm pain,1,10003239
Thought content abnormal,1,10043431
Inattention,1,10083622
Menstrual cycle lengthened,1,10030295
Abdominal fat increased,1,10016251
Bowel habit changes,1,10079938
Wrinkling of skin,1,10040954
Triglycerides level decreased,1,10005838
Reverse triiodothyronine increased,1,10044596
Hyperferraemia,1,10018872
Vasovagal syncope,1,10042772
Hyperferremia,1,10005620
Decreased satiety,1,10021654
Hypopigmentation,1,10040868
Frequent defaecation,1,10017367
Abnormal fat distribution,1,10049287
Inflammatory marker,1,10069826
Gastroenterostophageal reflux disease,1,10017885
Borborhygmus,1,10067715
Gastric retention,1,10021518
Increased defecation,1,10017367
Decreased heart rate,1,10019301
Post-injection reaction,1,10067142
Penile atrophy,1,10072006
Fat distribution abnormal,1,10049287
electrolytes decreased,1,10014418
Tooth sensitivity,1,10082426
Guilt feelings,1,10049708
Thyroid hormone levels increased,1,10063161
Abnormal stool,1,10000133
Alkaline phosphatase decreased,1,10059569
Ear pressure,1,10079904
Fecal urgency,1,10012110
Increased cortisol,1,10011207
Bowel habit increased,1,10017367
Affect blunting,1,10005885
Altered bowel habits,1,10000133
Change in bowel habit,1,10000133
Delayed menstrual period,1,10027336
Pressured speech,1,10036649
Increased energy,1,10048779
Decreased blood glucose,1,10005555
Altered mental status,1,10001854
Delayed healing,1,10021519
Varices,1,10046996
Impaired Cognition,1,10057668
Substance use increased,1,10070964
Loss of control of eating,1,10004716
Hormone level fluctuation,1,10061210
Dyskgeusia,1,10013911
Vomiting fileciteturn18,1,10047700
Ageing,1,10063493
Gastric emptying delay,1,10021518
Lipid profile decreased,1,10005424
Menstrual irregularities,1,10027327
Bilirubin decreased,1,10049869
Liver enzyme decreased,1,10060794
Penile erection,1,10049118
Alcohol consumption increased,1,10001639
Pain on defecation,1,10051244
Faeces abnormal,1,10000133
Inability to walk,1,10017581
Increased gastrointestinal motility,1,10052402
Postherpetic neuralgia,1,10036376
Increased serum ferritin,1,10040250
Increased serum iron,1,10005620
Menstrual flow decreased,1,10021033
Fluctuation in blood glucose,1,10049803
Abnormal stool color,1,10016100
Decreased muscle mass,1,10028289
Delayed ejaculation,1,10014325
Hyper aesthesia,1,10020568
Cannabis craving,1,10013663
Migratory pain,1,10033371
Guilt feeling,1,10049708
Faeces odour abnormal,1,10000133
Polycystic ovary syndrome,1,10036049
Total cholesterol decreased,1,10005424
Foreign body sensation,1,10061549
Intestinal motility disorder,1,10061173
Heaviness sensation,1,10013082
Nonrestorative sleep,1,10062519
Restless sleep,1,10062519
Osmidrosis,1,10055000
Sleep fragmentation,1,10062519
Thumb pain,1,10033425
Feeling of impending doom,1,10002855
Caffeine intolerance,1,10074895
Hard stool,1,10016101
Autoantibody decreased,1,10021497
Prolonged bleeding,1,10005140
Mood alteration,1,10027940
Guilt,1,10049708
Glucose uptake increased,1,10005557
Insulin requirement decreased,1,10052340
Increased histamine,1,10060051
Glycated hemoglobin increased,1,10018484
Diuresis increased,1,10036142
Aging,1,10063493
Dry lip,1,10024552
Postprandial blood glucose decreased,1,10005555
Dopamine decreased,1,10002511
Overeating,1,10004716
Fat metabolism disorder,1,10061227
Diabetes mellitus type 2,1,10067585
Nail thickening,1,10028694
Mood changes,1,10027940
Night eating,1,10067315
Increased testosterone,1,10005815
Abnormal blood glucose,1,10005554
Feeling of impending death,1,10002855
Insulin-like growth factor 1 increased,1,10059596
Freckling,1,10014970
Body image disturbance,1,10052793
Globus sensation,1,10061549
Glycated haemoglobin increased,1,10018484
Impaired attention,1,10013496
Light-headedness,1,10013573
Facial oedema,1,10016029
Abnormal body odour,1,10040904
Gallstone,1,10008629
Fluctuation in body weight,1,10049040
Resting heart rate decreased,1,10019301
Decreased HDL cholesterol,1,10020060
Increased low density lipoprotein cholesterol,1,10024910
Affective flattening,1,10016759
hyperpigmentation,1,10040865
Weight fluctuating,1,10049040
Muscular fatigue,1,10049565
Taste aversion,1,10049238
Feeling distressed,1,10049119
Reduced heart rate variability,1,10082111
Intolerance to lactose,1,10023681
Walking impairment,1,10017577
Application site papule,1,10049043
Increased mean corpuscular hemoglobin,1,10027004
Increased mean corpuscular hemoglobin concentration,1,10027004
Psychomotor slowing,1,10037213
Comedones,1,10000496
Urgency of faeces,1,10012110
Facial atrophy,1,10073006
Obsessive-compulsive symptoms,1,10029898
Abnormal faeces odour,1,10000133
Gastric distension,1,10000060
Citrate synthase increased,1,10072234
